DATE,XTEXVA01RUM664S
2015-01-01,2005441333477.08
2015-02-01,2063577398835.6
2015-03-01,1909408386425.5498
2015-04-01,1629553546644.5698
2015-05-01,1604943409749.6401
2015-06-01,1622685465853.55
2015-07-01,1575058226587.51
2015-08-01,1702704855013.8499
2015-09-01,1703270579282.67
2015-10-01,1639351096289.51
2015-11-01,1602510350906.12
2015-12-01,1680574766403.09
2016-01-01,1581757665551.49
2016-02-01,1676538390055.1301
2016-03-01,1520708695427.04
2016-04-01,1492076072212.84
2016-05-01,1500577575267.35
2016-06-01,1546138737700.4102
2016-07-01,1533125648071.9402
2016-08-01,1519552048330.58
2016-09-01,1570044408702.55
2016-10-01,1521820677615.27
2016-11-01,1635141545574.45
2016-12-01,1668954347602.3901
2017-01-01,1735304050777.46
2017-02-01,1647005851130.86
2017-03-01,1688997382207.86
2017-04-01,1565969535819.76
2017-05-01,1640395319809.31
2017-06-01,1666518617486.2
2017-07-01,1614859221374.19
2017-08-01,1733478635303.37
2017-09-01,1730879605919.24
2017-10-01,1754647548107.44
2017-11-01,1876227472339.47
2017-12-01,1925707865563.3699
2018-01-01,2072395795977.68
2018-02-01,1941151197867.22
2018-03-01,2020093196386.56
2018-04-01,2222617308232.08
2018-05-01,2344580226030.88
2018-06-01,2320675577692.66
2018-07-01,2289329180122.25
2018-08-01,2491226791023.0996
2018-09-01,2616559892719.29
2018-10-01,2568228392442.8896
2018-11-01,2500618617387.95
2018-12-01,2426076258427.89
2019-01-01,2321218233670.8403
2019-02-01,2433122013388.06
2019-03-01,2371774997550.52
2019-04-01,2392374222272.17
2019-05-01,2215842885578.77
2019-06-01,2178972717308.77
2019-07-01,2164063127535.6099
2019-08-01,2308400212592.86
2019-09-01,2261140250107.56
2019-10-01,2232619999438.22
2019-11-01,2199716208326.4204
2019-12-01,2120098708339.6099
2020-01-01,2075749572474.38
2020-02-01,1992627661894.5999
2020-03-01,2091636251994.0798
2020-04-01,1912427057151.0999
2020-05-01,1710567559779.48
2020-06-01,1660268351396.04
2020-07-01,1799360636649.99
2020-08-01,1853443825380.49
2020-09-01,2193641608928.5898
2020-10-01,2157429845352.89
2020-11-01,2260854714462.73
2020-12-01,2193520845171.7
2021-01-01,2287746722430.84
2021-02-01,2404777029874.92
2021-03-01,2536192157765.2603
2021-04-01,2834330719058.7603
2021-05-01,2877878976010.54
2021-06-01,3104320981160.17
2021-07-01,3318209707735.71
2021-08-01,3297029972087.68
2021-09-01,3213916700968.2603
2021-10-01,3277250707559.36
2021-11-01,3390059294838.6504
2021-12-01,3563330525493.87
2022-01-01,4075818861171.42
2022-02-01,4203308935700.29
2022-03-01,5509730838862.399
2022-04-01,3991764766239.08
2022-05-01,3402663036714.46
2022-06-01,3016869494760.29
2022-07-01,2874338895424.02
2022-08-01,2934090308534.66
2022-09-01,2682240809174.8896
2022-10-01,2648465308138.27
2022-11-01,2555407501803.81
2022-12-01,2833376418623.56
2023-01-01,2627356292381.6797
2023-02-01,2306090935003.36
