Дата,Серебро (Банк России)
10/1/2021,50.29
9/30/2021,52.23
9/29/2021,51.75
9/28/2021,52.69
9/27/2021,53.19
9/25/2021,53.19
9/24/2021,53.17
9/23/2021,53.27
9/22/2021,53.09
9/21/2021,52.80
9/20/2021,53.68
9/18/2021,53.68
9/17/2021,54.66
9/16/2021,55.83
9/15/2021,55.17
9/14/2021,55.41
9/13/2021,56.20
9/11/2021,56.20
9/10/2021,56.77
9/9/2021,57.41
9/8/2021,57.05
9/7/2021,57.95
9/6/2021,56.34
9/4/2021,56.34
9/3/2021,56.60
9/2/2021,56.29
9/1/2021,56.65
8/31/2021,55.85
8/30/2021,56.16
8/28/2021,56.16
8/27/2021,56.32
8/26/2021,56.32
8/25/2021,56.49
8/24/2021,55.79
8/23/2021,55.48
8/21/2021,55.48
8/20/2021,55.64
8/19/2021,55.91
8/18/2021,56.46
8/17/2021,55.55
8/16/2021,55.24
8/14/2021,55.24
8/13/2021,55.38
8/12/2021,55.68
8/11/2021,55.34
8/10/2021,56.34
8/9/2021,58.72
8/7/2021,58.72
8/6/2021,59.87
8/5/2021,60.07
8/4/2021,59.65
8/3/2021,59.64
8/2/2021,59.94
7/31/2021,59.94
7/30/2021,59.89
7/29/2021,58.68
7/28/2021,59.63
7/27/2021,60.43
7/26/2021,59.68
7/24/2021,59.68
7/23/2021,59.40
7/22/2021,60.13
7/21/2021,60.10
7/20/2021,60.53
7/19/2021,62.25
7/17/2021,62.25
7/16/2021,62.53
7/15/2021,62.37
7/14/2021,62.16
7/13/2021,62.21
7/12/2021,62.27
7/10/2021,62.27
7/9/2021,63.11
7/8/2021,62.82
7/7/2021,62.68
7/6/2021,62.60
7/5/2021,61.94
7/3/2021,61.94
7/2/2021,61.56
7/1/2021,60.24
6/30/2021,60.39
6/29/2021,60.54
6/28/2021,60.63
6/26/2021,60.63
6/25/2021,60.44
6/24/2021,60.62
6/23/2021,61.09
6/22/2021,61.08
6/21/2021,61.27
6/19/2021,61.27
6/18/2021,62.00
6/17/2021,64.17
6/16/2021,63.80
6/14/2021,64.85
6/12/2021,64.85
6/11/2021,64.20
6/10/2021,63.92
6/9/2021,64.89
6/8/2021,64.67
6/7/2021,64.47
6/5/2021,64.47
6/4/2021,65.38
6/3/2021,65.56
6/2/2021,66.43
6/1/2021,65.11
5/31/2021,65.37
5/29/2021,65.37
5/28/2021,65.31
5/27/2021,66.43
5/26/2021,65.02
5/25/2021,65.35
5/24/2021,65.77
5/22/2021,65.77
5/21/2021,65.64
5/20/2021,65.56
5/19/2021,67.47
5/18/2021,65.56
5/17/2021,64.78
5/15/2021,64.78
5/14/2021,64.12
5/13/2021,65.25
5/12/2021,65.52
5/10/2021,65.25
5/8/2021,65.25
5/7/2021,64.08
5/6/2021,63.29
5/5/2021,64.90
5/3/2021,62.26
5/1/2021,62.26
4/30/2021,62.86
4/29/2021,62.33
4/28/2021,63.35
4/27/2021,62.76
4/26/2021,63.07
4/24/2021,63.07
4/23/2021,64.62
4/22/2021,63.99
4/21/2021,63.25
4/20/2021,64.00
4/19/2021,63.50
4/17/2021,63.50
4/16/2021,63.32
4/15/2021,61.63
4/14/2021,61.97
4/13/2021,62.70
4/12/2021,62.58
4/10/2021,62.58
4/9/2021,62.79
4/8/2021,62.47
4/7/2021,61.49
4/6/2021,59.89
4/5/2021,59.47
4/3/2021,59.47
4/2/2021,59.26
4/1/2021,58.36
3/31/2021,59.24
3/30/2021,60.53
3/29/2021,60.09
3/27/2021,60.09
3/26/2021,61.70
3/25/2021,62.73
3/24/2021,62.36
3/23/2021,62.79
3/22/2021,62.28
3/20/2021,62.28
3/19/2021,61.22
3/18/2021,61.30
3/17/2021,61.22
3/16/2021,59.98
3/15/2021,62.04
3/13/2021,62.04
3/12/2021,60.60
3/11/2021,61.31
3/10/2021,60.06
3/8/2021,62.11
3/6/2021,62.11
3/5/2021,63.07
3/4/2021,62.07
3/3/2021,64.47
3/2/2021,63.53
3/1/2021,66.83
2/27/2021,66.83
2/26/2021,65.54
2/25/2021,66.31
2/22/2021,64.60
2/21/2021,64.10
2/20/2021,64.60
2/19/2021,64.32
2/18/2021,65.40
2/17/2021,64.96
2/16/2021,63.80
2/15/2021,64.48
2/13/2021,64.48
2/12/2021,64.57
2/11/2021,65.62
2/10/2021,64.77
2/9/2021,63.34
2/8/2021,63.75
2/6/2021,63.75
2/5/2021,65.25
2/4/2021,66.84
2/3/2021,72.20
2/2/2021,66.55
2/1/2021,61.79
1/30/2021,61.79
1/29/2021,61.69
1/28/2021,61.28
1/27/2021,62.34
1/26/2021,60.94
1/25/2021,61.84
1/23/2021,61.84
1/22/2021,59.67
1/21/2021,59.66
1/20/2021,58.94
1/19/2021,60.04
1/18/2021,59.70
1/16/2021,59.70
1/15/2021,60.11
1/14/2021,60.34
1/13/2021,59.74
1/12/2021,63.83
1/1/2021,62.48
12/31/2020,62.11
12/30/2020,61.05
12/29/2020,61.10
12/28/2020,61.08
12/26/2020,61.08
12/25/2020,60.91
12/24/2020,62.52
12/23/2020,63.36
12/22/2020,61.98
12/21/2020,60.67
12/19/2020,60.67
12/18/2020,58.96
12/17/2020,57.16
12/16/2020,56.33
12/15/2020,55.84
12/14/2020,56.15
12/12/2020,56.15
12/11/2020,57.08
12/10/2020,57.68
12/9/2020,56.25
12/8/2020,57.83
12/7/2020,57.70
12/5/2020,57.70
12/4/2020,57.98
12/3/2020,57.22
12/2/2020,54.35
12/1/2020,56.68
11/30/2020,56.97
11/28/2020,56.97
11/27/2020,56.79
11/26/2020,56.19
11/25/2020,58.27
11/24/2020,58.86
11/23/2020,58.60
11/21/2020,58.60
11/20/2020,59.62
11/19/2020,60.12
11/18/2020,59.49
11/17/2020,59.96
11/16/2020,60.20
11/14/2020,60.20
11/13/2020,60.02
11/12/2020,59.28
11/11/2020,61.66
11/10/2020,63.78
11/9/2020,60.97
11/7/2020,60.97
11/6/2020,60.47
11/4/2020,61.67
11/3/2020,61.20
11/2/2020,58.70
10/31/2020,58.70
10/30/2020,60.67
10/29/2020,60.93
10/28/2020,59.68
10/27/2020,60.85
10/26/2020,60.87
10/24/2020,60.87
10/23/2020,61.74
10/22/2020,61.97
10/21/2020,61.59
10/20/2020,62.23
10/19/2020,61.06
10/17/2020,61.06
10/16/2020,59.98
10/15/2020,60.06
10/14/2020,61.96
10/13/2020,62.06
10/12/2020,60.22
10/10/2020,60.22
10/9/2020,60.02
10/8/2020,59.08
10/7/2020,61.34
10/6/2020,60.07
10/5/2020,59.92
10/3/2020,59.92
10/2/2020,58.68
10/1/2020,60.10
9/30/2020,61.06
9/29/2020,57.90
9/28/2020,55.89
9/26/2020,55.89
9/25/2020,55.14
9/24/2020,57.92
9/23/2020,59.59
9/22/2020,64.44
9/21/2020,65.28
9/19/2020,65.28
9/18/2020,64.66
9/17/2020,65.96
9/16/2020,66.59
9/15/2020,64.58
9/14/2020,64.71
9/12/2020,64.71
9/11/2020,65.82
9/10/2020,64.90
9/9/2020,65.15
9/8/2020,65.21
9/7/2020,64.82
9/5/2020,64.82
