Дата,Индекс МосБиржи
1/27/2021,3343.62
1/26/2021,3390.76
1/25/2021,3397.48
1/22/2021,3382.92
1/21/2021,3422.67
1/20/2021,3466.80
1/19/2021,3443.23
1/18/2021,3471.92
1/15/2021,3450.95
1/14/2021,3490.85
1/13/2021,3470.26
1/12/2021,3471.65
1/11/2021,3482.48
1/8/2021,3454.82
1/6/2021,3371.03
1/5/2021,3359.15
1/4/2021,3350.51
12/31/2020,3289.02
12/30/2020,3289.02
12/29/2020,3274.67
12/28/2020,3258.95
12/25/2020,3246.35
12/24/2020,3236.88
12/23/2020,3252.10
12/22/2020,3236.46
12/21/2020,3186.38
12/18/2020,3273.75
12/17/2020,3282.67
12/16/2020,3269.95
12/15/2020,3248.11
12/14/2020,3254.83
12/11/2020,3276.58
12/10/2020,3258.31
12/9/2020,3211.66
12/8/2020,3179.61
12/7/2020,3195.08
12/4/2020,3184.72
12/3/2020,3162.67
12/2/2020,3189.61
12/1/2020,3147.79
11/30/2020,3107.58
11/27/2020,3142.68
11/26/2020,3138.62
11/25/2020,3134.52
11/24/2020,3095.84
11/23/2020,3047.06
11/20/2020,3051.04
11/19/2020,3046.49
11/18/2020,3080.68
11/17/2020,3052.22
11/16/2020,3079.74
11/13/2020,3025.22
11/12/2020,3025.83
11/11/2020,3015.03
11/10/2020,2998.61
11/9/2020,2987.75
11/6/2020,2895.62
11/5/2020,2861.39
11/3/2020,2786.42
11/2/2020,2737.54
10/30/2020,2690.59
10/29/2020,2709.04
10/28/2020,2693.46
10/27/2020,2763.03
10/26/2020,2785.59
10/23/2020,2816.70
10/22/2020,2803.17
10/21/2020,2786.23
10/20/2020,2803.06
10/19/2020,2794.27
10/16/2020,2799.54
10/15/2020,2817.29
10/14/2020,2856.08
10/13/2020,2829.23
10/12/2020,2846.14
10/9/2020,2834.09
10/8/2020,2846.39
10/7/2020,2842.58
10/6/2020,2892.99
10/5/2020,2881.98
10/2/2020,2852.42
10/1/2020,2889.80
9/30/2020,2905.81
9/29/2020,2910.12
9/28/2020,2927.17
9/25/2020,2896.83
9/24/2020,2912.76
9/23/2020,2916.39
9/22/2020,2884.66
9/21/2020,2863.67
9/18/2020,2951.79
9/17/2020,2971.74
9/16/2020,2975.01
9/15/2020,2980.58
9/14/2020,2928.38
9/11/2020,2910.51
9/10/2020,2897.55
9/9/2020,2876.07
9/8/2020,2888.79
9/7/2020,2932.29
9/4/2020,2921.55
9/3/2020,2931.92
9/2/2020,2956.50
9/1/2020,2975.00
8/31/2020,2966.20
8/28/2020,2980.17
8/27/2020,3012.01
8/26/2020,3051.97
8/25/2020,3029.05
8/24/2020,3029.42
8/21/2020,2995.61
8/20/2020,2993.69
8/19/2020,3056.54
8/18/2020,3050.70
8/17/2020,3052.46
8/14/2020,3061.99
8/13/2020,3080.44
8/12/2020,3053.99
8/11/2020,3005.63
8/10/2020,2960.78
8/7/2020,2972.35
8/6/2020,2988.50
8/5/2020,2992.78
8/4/2020,2940.46
8/3/2020,2929.97
7/31/2020,2911.57
7/30/2020,2882.63
7/29/2020,2918.42
7/28/2020,2895.45
7/27/2020,2884.88
7/24/2020,2863.12
7/23/2020,2851.79
7/22/2020,2834.65
