Дата,Индекс МосБиржи нефти и газа
10/21/2021,9684.16
10/20/2021,9882.04
10/19/2021,9827.87
10/18/2021,9815.06
10/15/2021,9852.87
10/14/2021,9762.60
10/13/2021,9745.53
10/12/2021,9864.12
10/11/2021,9826.26
10/8/2021,9783.61
10/7/2021,9810.65
10/6/2021,9772.03
10/5/2021,10024.82
10/4/2021,9697.25
10/1/2021,9534.33
9/30/2021,9558.27
9/29/2021,9481.93
9/28/2021,9463.72
9/27/2021,9407.26
9/24/2021,9237.52
9/23/2021,9226.84
9/22/2021,9164.51
9/21/2021,8951.22
9/20/2021,8896.07
9/17/2021,9066.08
9/16/2021,9183.22
9/15/2021,9178.49
9/14/2021,9141.50
9/13/2021,9065.48
9/10/2021,8881.37
9/9/2021,8903.15
9/8/2021,8961.95
9/7/2021,8936.86
9/6/2021,8900.05
9/3/2021,8853.80
9/2/2021,8839.02
9/1/2021,8727.24
8/31/2021,8603.70
8/30/2021,8675.63
8/27/2021,8584.27
8/26/2021,8525.89
8/25/2021,8666.75
8/24/2021,8705.22
8/23/2021,8685.54
8/20/2021,8534.30
8/19/2021,8567.80
8/18/2021,8751.61
8/17/2021,8794.65
8/16/2021,8719.79
8/13/2021,8642.63
8/12/2021,8686.38
8/11/2021,8619.21
8/10/2021,8592.36
8/9/2021,8486.61
8/6/2021,8437.42
8/5/2021,8511.48
8/4/2021,8469.93
8/3/2021,8450.87
8/2/2021,8482.33
7/30/2021,8420.38
7/29/2021,8539.97
7/28/2021,8455.21
7/27/2021,8340.88
7/26/2021,8336.79
7/23/2021,8339.64
7/22/2021,8409.19
7/21/2021,8331.50
7/20/2021,8229.67
7/19/2021,8247.87
7/16/2021,8547.81
7/15/2021,8649.42
7/14/2021,8810.43
7/13/2021,8913.37
7/12/2021,8911.17
7/9/2021,8903.95
7/8/2021,8927.18
7/7/2021,9048.71
7/6/2021,9102.95
7/5/2021,9046.38
7/2/2021,8976.45
7/1/2021,9004.46
6/30/2021,8887.54
6/29/2021,8714.98
6/28/2021,8798.17
6/25/2021,8853.54
6/24/2021,8828.28
6/23/2021,8836.04
6/22/2021,8797.60
6/21/2021,8734.12
6/18/2021,8734.55
6/17/2021,8794.05
6/16/2021,8822.39
6/15/2021,8712.82
6/14/2021,8744.13
6/11/2021,8626.63
6/10/2021,8674.28
6/9/2021,8711.64
6/8/2021,8611.15
6/7/2021,8639.38
6/4/2021,8622.99
6/3/2021,8583.94
6/2/2021,8548.70
6/1/2021,8357.38
5/31/2021,8207.09
5/28/2021,8174.89
5/27/2021,8156.45
5/26/2021,8133.54
5/25/2021,8096.31
5/24/2021,8065.23
5/21/2021,8072.34
5/20/2021,7995.05
5/19/2021,8082.01
5/18/2021,8175.66
5/17/2021,8100.70
5/14/2021,8079.86
5/13/2021,8095.92
5/12/2021,8146.81
5/11/2021,8084.45
5/10/2021,8128.32
5/7/2021,8087.19
5/6/2021,8066.16
5/5/2021,8088.82
5/4/2021,7967.01
4/30/2021,7838.74
4/29/2021,7889.48
4/28/2021,7954.03
4/27/2021,8076.63
4/26/2021,8099.90
4/23/2021,8157.39
4/22/2021,8199.86
4/21/2021,8131.18
4/20/2021,8137.14
4/19/2021,8190.29
4/16/2021,8278.86
4/15/2021,8305.80
4/14/2021,8331.48
4/13/2021,8131.66
4/12/2021,8110.60
4/9/2021,8057.45
4/8/2021,8168.47
4/7/2021,8218.78
4/6/2021,8165.81
4/5/2021,8284.24
4/2/2021,8408.00
4/1/2021,8335.20
3/31/2021,8346.53
3/30/2021,8370.38
3/29/2021,8430.46
3/26/2021,8405.34
3/25/2021,8262.18
3/24/2021,8375.80
3/23/2021,8266.31
3/22/2021,8238.92
3/19/2021,8167.33
3/18/2021,8284.01
3/17/2021,8347.85
3/16/2021,8556.70
3/15/2021,8600.82
3/12/2021,8516.22
3/11/2021,8414.06
3/10/2021,8326.95
3/9/2021,8413.05
3/5/2021,8121.62
3/4/2021,7856.61
3/3/2021,7814.97
3/2/2021,7779.23
3/1/2021,7696.63
2/26/2021,7642.66
2/25/2021,7837.94
2/24/2021,7751.39
2/22/2021,7768.25
2/20/2021,7779.11
2/19/2021,7786.32
2/18/2021,7697.50
2/17/2021,7768.42
2/16/2021,7956.83
2/15/2021,7916.98
2/12/2021,7781.37
2/11/2021,7709.27
2/10/2021,7666.84
2/9/2021,7767.62
2/8/2021,7832.75
2/5/2021,7699.63
2/4/2021,7607.41
2/3/2021,7577.98
2/2/2021,7604.30
2/1/2021,7399.63
1/29/2021,7414.28
1/28/2021,7575.01
1/27/2021,7589.60
1/26/2021,7699.77
1/25/2021,7727.77
1/22/2021,7668.89
1/21/2021,7740.07
1/20/2021,7924.37
1/19/2021,7916.50
1/18/2021,7998.90
1/15/2021,7979.52
1/14/2021,8069.74
1/13/2021,7974.20
1/12/2021,7906.77
1/11/2021,7863.43
1/8/2021,7808.88
1/6/2021,7559.68
1/5/2021,7459.51
1/4/2021,7429.09
12/30/2020,7344.76
12/29/2020,7302.62
12/28/2020,7240.19
12/25/2020,7223.86
12/24/2020,7204.68
12/23/2020,7239.80
12/22/2020,7238.72
12/21/2020,7097.14
12/18/2020,7311.01
12/17/2020,7277.85
12/16/2020,7244.08
12/15/2020,7243.97
12/14/2020,7267.09
12/11/2020,7311.98
12/10/2020,7268.59
12/9/2020,7070.08
12/8/2020,7043.88
12/7/2020,7141.46
12/4/2020,7182.45
12/3/2020,7088.73
12/2/2020,7207.62
12/1/2020,7102.15
11/30/2020,7078.96
11/27/2020,7295.34
11/26/2020,7347.03
11/25/2020,7429.98
