Дата,USD/RUB (Банк России)
4/20/2021,76.25
4/19/2021,75.55
4/17/2021,75.55
4/16/2021,76.98
4/15/2021,75.68
4/14/2021,77.25
4/13/2021,77.51
4/12/2021,77.17
4/10/2021,77.17
4/9/2021,77.10
4/8/2021,77.77
4/7/2021,76.38
4/6/2021,76.61
4/5/2021,76.07
4/3/2021,76.07
4/2/2021,75.81
4/1/2021,75.64
3/31/2021,75.70
3/30/2021,75.83
3/29/2021,75.76
3/27/2021,75.76
3/26/2021,76.17
3/25/2021,76.15
3/24/2021,75.36
3/23/2021,74.61
3/22/2021,74.14
3/20/2021,74.14
3/19/2021,73.66
3/18/2021,73.10
3/17/2021,72.96
3/16/2021,73.23
3/15/2021,73.51
3/13/2021,73.51
3/12/2021,73.50
3/11/2021,74.04
3/10/2021,74.26
3/8/2021,74.43
3/6/2021,74.43
3/5/2021,73.79
3/4/2021,73.52
3/3/2021,74.58
3/2/2021,74.04
3/1/2021,74.44
2/27/2021,74.44
2/26/2021,73.47
2/25/2021,73.75
2/21/2021,73.98
2/20/2021,73.97
2/19/2021,73.78
2/18/2021,73.77
2/17/2021,73.29
2/16/2021,73.31
2/15/2021,73.94
2/13/2021,73.94
2/12/2021,73.76
2/11/2021,73.85
2/10/2021,74.12
2/9/2021,74.26
2/8/2021,75.11
2/6/2021,75.11
2/5/2021,75.73
2/4/2021,76.08
2/3/2021,75.91
2/2/2021,75.51
2/1/2021,76.25
1/30/2021,76.25
1/29/2021,76.19
1/28/2021,75.04
1/27/2021,75.64
1/26/2021,74.86
1/25/2021,74.36
1/23/2021,74.36
1/22/2021,73.37
1/21/2021,73.36
1/20/2021,73.72
1/19/2021,73.97
1/18/2021,73.55
1/16/2021,73.55
1/15/2021,73.80
1/14/2021,73.53
1/13/2021,74.27
1/12/2021,74.52
1/1/2021,73.88
12/31/2020,73.88
12/30/2020,73.66
12/29/2020,73.72
12/28/2020,73.69
12/26/2020,73.69
12/25/2020,74.84
12/24/2020,75.46
12/23/2020,75.35
12/22/2020,74.67
12/21/2020,73.32
12/19/2020,73.32
12/18/2020,72.98
12/17/2020,73.42
12/16/2020,73.45
12/15/2020,72.93
12/14/2020,73.12
12/12/2020,73.12
12/11/2020,73.71
12/10/2020,73.31
12/9/2020,73.66
12/8/2020,74.25
12/7/2020,74.25
12/5/2020,74.25
12/4/2020,75.20
12/3/2020,75.62
12/2/2020,76.32
12/1/2020,76.20
11/30/2020,75.86
11/28/2020,75.86
11/27/2020,75.45
11/26/2020,75.47
11/25/2020,75.81
11/24/2020,75.76
11/23/2020,76.01
11/21/2020,76.01
11/20/2020,76.26
11/19/2020,75.93
11/18/2020,76.25
11/17/2020,76.92
11/16/2020,77.33
11/14/2020,77.33
11/13/2020,77.11
11/12/2020,76.21
11/11/2020,76.40
11/10/2020,76.95
11/9/2020,77.19
11/7/2020,77.19
11/6/2020,78.46
11/4/2020,80.00
11/3/2020,80.57
11/2/2020,79.33
10/31/2020,79.33
10/30/2020,78.87
10/29/2020,77.55
10/28/2020,76.46
10/27/2020,76.44
10/26/2020,76.47
10/24/2020,76.47
10/23/2020,77.08
10/22/2020,77.03
10/21/2020,77.78
10/20/2020,77.92
10/19/2020,77.96
10/17/2020,77.96
10/16/2020,77.95
10/15/2020,77.28
10/14/2020,77.29
10/13/2020,77.02
10/12/2020,77.03
10/10/2020,77.03
10/9/2020,77.92
